#group,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
#datatype,string,long,dateTime:RFC3339,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,
,result,table,_time,Amag,Ax,Ay,Az,Gmag,Gx,Gy,Gz
,,0,2025-11-18T17:43:19.74Z,9.84,7.57,-5.96,2,7.7,-4.63,3.54,-5.02
,,0,2025-11-18T17:43:19.785Z,9.88,7.44,-6.2,1.93,9.12,-6.11,3.61,-5.73
,,0,2025-11-18T17:43:19.794Z,9.86,7.5,-6.12,1.89,9.23,-6.89,3.37,-5.12
,,0,2025-11-18T17:43:19.804Z,9.85,7.49,-6.1,1.93,9.35,-6.73,3.3,-5.6
,,0,2025-11-18T17:43:19.814Z,9.88,7.43,-6.23,1.93,8.91,-6.22,3.03,-5.62
,,0,2025-11-18T17:43:19.824Z,9.91,7.42,-6.28,1.92,7.93,-5.15,2.95,-5.26
,,0,2025-11-18T17:43:19.834Z,9.87,7.38,-6.27,1.91,7.62,-4.82,2.92,-5.14
,,0,2025-11-18T17:43:19.844Z,9.85,7.4,-6.22,1.88,7.3,-3.96,2.53,-5.58
,,0,2025-11-18T17:43:19.854Z,9.88,7.36,-6.32,1.87,7.1,-4.27,2.63,-5.02
,,0,2025-11-18T17:43:19.864Z,9.91,7.35,-6.36,1.95,6.79,-3.44,2.64,-5.22
,,0,2025-11-18T17:43:19.874Z,10.13,7.46,-6.51,2.13,6.59,-2.76,2.53,-5.42
,,0,2025-11-18T17:43:19.884Z,10.09,7.43,-6.48,2.17,6.69,-1.88,2.27,-6.01
,,0,2025-11-18T17:43:19.894Z,10.09,7.44,-6.45,2.19,5.51,-0.85,1.87,-5.11
,,0,2025-11-18T17:43:19.904Z,10.11,7.47,-6.41,2.29,5.68,-1,1.97,-5.24
,,0,2025-11-18T17:43:19.914Z,10.03,7.46,-6.31,2.25,5.69,-1.55,1.66,-5.21
,,0,2025-11-18T17:43:19.924Z,10.02,7.5,-6.27,2.2,5.28,-1.74,1.73,-4.68
,,0,2025-11-18T17:43:19.934Z,10.03,7.54,-6.25,2.17,5.75,-2.18,2.17,-4.86
,,0,2025-11-18T17:43:19.944Z,9.94,7.47,-6.24,2.03,5.39,-2,2.36,-4.42
,,0,2025-11-18T17:43:19.954Z,9.94,7.47,-6.22,2.07,5.73,-1.57,2.33,-4.99
,,0,2025-11-18T17:43:19.964Z,9.92,7.5,-6.18,2.02,6.13,-1.44,2.27,-5.51
,,0,2025-11-18T17:43:19.974Z,9.86,7.49,-6.1,1.99,6.42,-1.19,2.41,-5.82
,,0,2025-11-18T17:43:19.984Z,9.87,7.45,-6.16,2,6.52,-1.4,2.4,-5.9
,,0,2025-11-18T17:43:19.994Z,9.83,7.46,-6.08,1.99,6.54,-1.85,2.46,-5.77
,,0,2025-11-18T17:43:20.004Z,9.8,7.43,-6.09,1.94,6.82,-2.95,2.68,-5.53
,,0,2025-11-18T17:43:20.014Z,9.79,7.4,-6.1,1.95,7.11,-3.96,2.4,-5.39
,,0,2025-11-18T17:43:20.024Z,9.85,7.39,-6.24,1.88,6.8,-3.77,2.15,-5.24
,,0,2025-11-18T17:43:20.034Z,9.82,7.36,-6.2,1.98,6.9,-3.74,1.51,-5.6
,,0,2025-11-18T17:43:20.044Z,9.85,7.38,-6.22,1.96,6.55,-3.69,1.44,-5.22
,,0,2025-11-18T17:43:20.054Z,9.98,7.45,-6.31,2.08,6.5,-3.56,1.72,-5.16
,,0,2025-11-18T17:43:20.064Z,9.93,7.39,-6.33,1.98,6.87,-3.64,1.52,-5.62
,,0,2025-11-18T17:43:20.074Z,9.81,7.39,-6.15,1.94,6.89,-4.6,1.54,-4.89
,,0,2025-11-18T17:43:20.084Z,9.81,7.44,-6.1,1.95,7.59,-5.6,2,-4.72
,,0,2025-11-18T17:43:20.094Z,9.96,7.45,-6.3,1.99,7.97,-6.34,2.28,-4.27
,,0,2025-11-18T17:43:20.104Z,9.99,7.44,-6.36,1.99,7.73,-5.53,2.37,-4.85
,,0,2025-11-18T17:43:20.114Z,10.01,7.43,-6.41,1.99,6.45,-4.21,2,-4.46
,,0,2025-11-18T17:43:20.124Z,9.96,7.45,-6.28,2.08,6.89,-3.82,2.43,-5.19
,,0,2025-11-18T17:43:20.134Z,9.92,7.43,-6.25,2.02,6.97,-4.11,2.39,-5.1
,,0,2025-11-18T17:43:20.144Z,9.93,7.38,-6.3,2.1,6.82,-4.33,2.3,-4.75
,,0,2025-11-18T17:43:20.154Z,9.84,7.38,-6.2,2,6.42,-4.04,2.06,-4.54
,,0,2025-11-18T17:43:20.164Z,9.82,7.39,-6.16,2.01,6.94,-5.24,2.1,-4.04
,,0,2025-11-18T17:43:20.174Z,9.87,7.44,-6.19,1.96,6.71,-5.01,2.24,-3.86
,,0,2025-11-18T17:43:20.184Z,9.93,7.48,-6.23,1.97,7.2,-5.44,2.22,-4.16
,,0,2025-11-18T17:43:20.194Z,9.79,7.4,-6.09,2.02,7.49,-5.71,2.05,-4.39
