#group,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
#datatype,string,long,dateTime:RFC3339,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,
,result,table,_time,Amag,Ax,Ay,Az,Gmag,Gx,Gy,Gz
,,0,2025-11-18T17:40:00.259Z,9.7,9.18,-3.12,-0.47,6.23,-2.73,1.66,-5.35
,,0,2025-11-18T17:40:00.301Z,9.77,9.29,-2.99,-0.57,6.58,-3.42,2.37,-5.1
,,0,2025-11-18T17:40:00.31Z,9.75,9.27,-2.97,-0.57,6.43,-3.45,2.53,-4.79
,,0,2025-11-18T17:40:00.32Z,9.73,9.25,-2.94,-0.69,6.56,-3.73,2.53,-4.77
,,0,2025-11-18T17:40:00.33Z,9.69,9.2,-2.95,-0.63,6.6,-3.78,2.83,-4.61
,,0,2025-11-18T17:40:00.34Z,9.68,9.2,-2.96,-0.58,6.35,-3.7,2.44,-4.54
,,0,2025-11-18T17:40:00.35Z,9.65,9.13,-3.03,-0.72,6.43,-4.01,2.69,-4.25
,,0,2025-11-18T17:40:00.36Z,9.67,9.15,-3.04,-0.72,6.41,-4.2,2.08,-4.37
,,0,2025-11-18T17:40:00.37Z,9.73,9.22,-2.98,-0.8,6.38,-4.34,1.77,-4.32
,,0,2025-11-18T17:40:00.38Z,9.66,9.14,-3.01,-0.81,6.59,-4.41,1.79,-4.55
,,0,2025-11-18T17:40:00.39Z,9.71,9.17,-3.11,-0.77,5.97,-3.71,1.52,-4.43
,,0,2025-11-18T17:40:00.4Z,9.79,9.24,-3.17,-0.68,5.85,-2.89,1.3,-4.92
,,0,2025-11-18T17:40:00.41Z,9.74,9.2,-3.12,-0.75,5.83,-2.08,1.56,-5.22
,,0,2025-11-18T17:40:00.42Z,9.64,9.1,-3.1,-0.66,6.08,-2.73,1.73,-5.15
,,0,2025-11-18T17:40:00.43Z,9.62,9.11,-3.05,-0.66,6.49,-2.77,1.91,-5.55
,,0,2025-11-18T17:40:00.44Z,9.68,9.14,-3.13,-0.57,6.34,-3.18,1.37,-5.31
,,0,2025-11-18T17:40:00.45Z,9.71,9.13,-3.25,-0.57,6.15,-2.78,1.35,-5.32
,,0,2025-11-18T17:40:00.46Z,9.73,9.13,-3.31,-0.54,6.54,-3.14,1.02,-5.64
,,0,2025-11-18T17:40:00.47Z,9.71,9.13,-3.28,-0.44,6.25,-2.68,0.96,-5.56
,,0,2025-11-18T17:40:00.48Z,9.68,9.12,-3.2,-0.48,6.31,-3.71,0.72,-5.05
,,0,2025-11-18T17:40:00.49Z,9.69,9.14,-3.21,-0.4,6.41,-4.3,0.87,-4.67
,,0,2025-11-18T17:40:00.5Z,9.76,9.17,-3.31,-0.47,6.21,-4.31,0.61,-4.42
,,0,2025-11-18T17:40:00.51Z,9.84,9.24,-3.35,-0.53,6.06,-3.42,0.77,-4.94
,,0,2025-11-18T17:40:00.52Z,9.81,9.21,-3.36,-0.45,6.01,-2.92,0.93,-5.18
,,0,2025-11-18T17:40:00.53Z,9.84,9.26,-3.31,-0.46,6.12,-1.91,0.91,-5.75
,,0,2025-11-18T17:40:00.54Z,9.82,9.23,-3.34,-0.46,6.05,-1.37,0.76,-5.85
,,0,2025-11-18T17:40:00.55Z,9.88,9.3,-3.3,-0.57,6.31,-0.67,0.56,-6.25
,,0,2025-11-18T17:40:00.56Z,9.83,9.26,-3.26,-0.57,6.8,-0.3,0.73,-6.76
,,0,2025-11-18T17:40:00.57Z,9.74,9.2,-3.14,-0.54,6.81,-0.12,1.11,-6.72
,,0,2025-11-18T17:40:00.58Z,9.7,9.16,-3.16,-0.45,6.3,-0.49,0.63,-6.25
,,0,2025-11-18T17:40:00.59Z,9.73,9.2,-3.12,-0.52,6.16,0.04,0.77,-6.11
,,0,2025-11-18T17:40:00.6Z,9.77,9.24,-3.14,-0.5,6.3,-0.33,0.9,-6.23
,,0,2025-11-18T17:40:00.61Z,9.77,9.26,-3.08,-0.52,6.34,0.11,1.23,-6.21
,,0,2025-11-18T17:40:00.62Z,9.78,9.3,-2.97,-0.62,6.12,0.11,1.39,-5.96
,,0,2025-11-18T17:40:00.63Z,9.75,9.27,-2.95,-0.71,5.99,-0.11,1.36,-5.83
,,0,2025-11-18T17:40:00.64Z,9.74,9.28,-2.93,-0.58,5.95,-0.84,1.34,-5.73
,,0,2025-11-18T17:40:00.65Z,9.73,9.26,-2.92,-0.64,5.82,-1.13,1.37,-5.54
,,0,2025-11-18T17:40:00.66Z,9.76,9.28,-2.96,-0.67,5.69,-1.47,1.3,-5.34
,,0,2025-11-18T17:40:00.67Z,9.75,9.26,-2.97,-0.68,5.63,-1.53,1.36,-5.24
,,0,2025-11-18T17:40:00.68Z,9.69,9.2,-2.96,-0.72,5.88,-1.88,1.08,-5.47
,,0,2025-11-18T17:40:00.69Z,9.74,9.24,-3.01,-0.68,5.61,-1.81,1.38,-5.13
,,0,2025-11-18T17:40:00.7Z,9.72,9.22,-3.02,-0.65,5.49,-1.57,1.08,-5.15
,,0,2025-11-18T17:40:00.71Z,9.76,9.24,-3.06,-0.61,5.4,-1.59,0.91,-5.08
,,0,2025-11-18T17:40:00.72Z,9.76,9.25,-3.06,-0.56,5.46,-1.47,1.11,-5.15
,,0,2025-11-18T17:40:00.73Z,9.73,9.22,-3.04,-0.6,5.42,-1.55,1.29,-5.03
,,0,2025-11-18T17:40:00.74Z,9.68,9.19,-3.01,-0.55,5.35,-1.85,1.26,-4.86
,,0,2025-11-18T17:40:00.75Z,9.7,9.19,-3.07,-0.56,5.34,-1.69,1.14,-4.94
,,0,2025-11-18T17:40:00.76Z,9.75,9.21,-3.13,-0.61,5.58,-2.08,0.92,-5.1
,,0,2025-11-18T17:40:00.77Z,9.82,9.29,-3.13,-0.48,5.63,-1.51,1.08,-5.31
,,0,2025-11-18T17:40:00.78Z,9.77,9.24,-3.15,-0.44,5.81,-1.71,1.18,-5.42
,,0,2025-11-18T17:40:00.79Z,9.82,9.27,-3.22,-0.45,6.05,-1.38,1.4,-5.72
,,0,2025-11-18T17:40:00.8Z,9.79,9.25,-3.16,-0.52,6.1,-1.55,1.56,-5.69
,,0,2025-11-18T17:40:00.81Z,9.73,9.19,-3.16,-0.51,6.05,-1.7,1.57,-5.59
,,0,2025-11-18T17:40:00.82Z,9.69,9.13,-3.22,-0.54,6.05,-1.56,1.66,-5.6
,,0,2025-11-18T17:40:00.83Z,9.8,9.23,-3.25,-0.49,6.25,-0.92,1.73,-5.94
,,0,2025-11-18T17:40:00.84Z,9.71,9.16,-3.17,-0.56,6.15,-0.65,1.62,-5.89
,,0,2025-11-18T17:40:00.85Z,9.71,9.19,-3.08,-0.48,5.95,-0.15,1.52,-5.76
,,0,2025-11-18T17:40:00.86Z,9.7,9.16,-3.15,-0.53,5.75,-0.09,1.13,-5.64
,,0,2025-11-18T17:40:00.87Z,9.72,9.19,-3.12,-0.52,5.62,-0.18,1.24,-5.48
,,0,2025-11-18T17:40:00.88Z,9.69,9.17,-3.1,-0.53,5.91,0,1.18,-5.79
,,0,2025-11-18T17:40:00.89Z,9.69,9.17,-3.07,-0.57,6.09,-0.13,1.39,-5.93
,,0,2025-11-18T17:40:00.9Z,9.7,9.18,-3.08,-0.65,5.99,-0.3,1.49,-5.79
,,0,2025-11-18T17:40:00.91Z,9.7,9.19,-3.05,-0.6,5.74,-0.42,1.4,-5.55
,,0,2025-11-18T17:40:00.92Z,9.71,9.21,-3.02,-0.68,5.51,-1.24,1.52,-5.15
,,0,2025-11-18T17:40:00.93Z,9.74,9.23,-3.04,-0.69,5.57,-1.2,1.42,-5.25
,,0,2025-11-18T17:40:00.94Z,9.73,9.22,-3.04,-0.67,5.56,-1.08,1.25,-5.31
,,0,2025-11-18T17:40:00.95Z,9.7,9.2,-2.97,-0.69,5.83,-1.1,1.16,-5.61
,,0,2025-11-18T17:40:00.96Z,9.72,9.23,-2.96,-0.65,5.61,-1.13,0.97,-5.4
,,0,2025-11-18T17:40:00.97Z,9.72,9.24,-2.97,-0.61,5.36,-1.02,1.01,-5.17
,,0,2025-11-18T17:40:00.98Z,9.73,9.25,-2.96,-0.63,5.75,-1.17,0.97,-5.54
,,0,2025-11-18T17:40:00.99Z,9.72,9.23,-2.99,-0.6,5.57,-1.55,1.01,-5.26
,,0,2025-11-18T17:40:01Z,9.73,9.24,-2.99,-0.57,5.66,-2,1.18,-5.17
,,0,2025-11-18T17:40:01.01Z,9.73,9.23,-3.02,-0.63,5.91,-2.24,1.27,-5.31
,,0,2025-11-18T17:40:01.02Z,9.73,9.21,-3.08,-0.58,5.97,-2.69,1.24,-5.18
,,0,2025-11-18T17:40:01.03Z,9.74,9.23,-3.06,-0.52,6.24,-3.02,1.04,-5.36
,,0,2025-11-18T17:40:01.04Z,9.71,9.18,-3.1,-0.6,6.26,-3.15,1.4,-5.23
,,0,2025-11-18T17:40:01.05Z,9.8,9.27,-3.14,-0.51,5.91,-3.1,1.52,-4.8
,,0,2025-11-18T17:40:01.06Z,9.83,9.29,-3.14,-0.56,6.21,-2.92,1.82,-5.17
,,0,2025-11-18T17:40:01.07Z,9.79,9.25,-3.16,-0.54,6.04,-2.84,1.92,-4.98
,,0,2025-11-18T17:40:01.08Z,9.77,9.23,-3.17,-0.52,5.8,-2.33,1.58,-5.07
,,0,2025-11-18T17:40:01.09Z,9.79,9.25,-3.14,-0.57,5.77,-2.34,1.6,-5.03
,,0,2025-11-18T17:40:01.1Z,9.78,9.27,-3.07,-0.56,5.52,-2.61,1.72,-4.55
,,0,2025-11-18T17:40:01.11Z,9.74,9.22,-3.06,-0.63,6.19,-3.55,1.63,-4.81
,,0,2025-11-18T17:40:01.12Z,9.74,9.23,-3.07,-0.53,6.21,-3.68,1.66,-4.72
,,0,2025-11-18T17:40:01.13Z,9.75,9.23,-3.08,-0.61,6.16,-3.69,1.66,-4.64
,,0,2025-11-18T17:40:01.14Z,9.78,9.25,-3.11,-0.64,6.2,-3.23,1.77,-4.98
,,0,2025-11-18T17:40:01.15Z,9.77,9.24,-3.1,-0.62,6.7,-3.45,2.07,-5.36
,,0,2025-11-18T17:40:01.16Z,9.75,9.22,-3.13,-0.62,6.49,-3.23,1.75,-5.35
,,0,2025-11-18T17:40:01.17Z,9.74,9.21,-3.12,-0.58,6.22,-2.75,1.54,-5.36
,,0,2025-11-18T17:40:01.18Z,9.76,9.23,-3.13,-0.57,6.39,-2.93,1.77,-5.4
,,0,2025-11-18T17:40:01.19Z,9.71,9.19,-3.07,-0.61,6.28,-2.58,1.7,-5.47
,,0,2025-11-18T17:40:01.2Z,9.7,9.19,-3.05,-0.53,6.36,-2.85,1.46,-5.49
,,0,2025-11-18T17:40:01.21Z,9.73,9.22,-3.07,-0.55,6.19,-2.71,1.52,-5.36
,,0,2025-11-18T17:40:01.22Z,9.72,9.19,-3.11,-0.5,6.22,-2.53,1.64,-5.44
,,0,2025-11-18T17:40:01.23Z,9.7,9.17,-3.1,-0.54,6.55,-2.81,1.93,-5.6
,,0,2025-11-18T17:40:01.24Z,9.66,9.15,-3.05,-0.54,6.82,-2.96,2.39,-5.66
,,0,2025-11-18T17:40:01.25Z,9.68,9.16,-3.04,-0.7,6.69,-3.44,2.07,-5.35
,,0,2025-11-18T17:40:01.26Z,9.7,9.16,-3.11,-0.62,6.41,-3.38,1.95,-5.08
,,0,2025-11-18T17:40:01.27Z,9.74,9.21,-3.09,-0.65,6.43,-2.92,2.16,-5.31
,,0,2025-11-18T17:40:01.28Z,9.78,9.22,-3.19,-0.66,6.31,-2.56,1.84,-5.47
,,0,2025-11-18T17:40:01.29Z,9.77,9.24,-3.11,-0.57,6.2,-2.11,1.82,-5.53
,,0,2025-11-18T17:40:01.3Z,9.69,9.18,-3.06,-0.57,6.07,-2.37,1.6,-5.35
,,0,2025-11-18T17:40:01.31Z,9.66,9.17,-2.99,-0.58,5.81,-2.61,1.79,-4.87
,,0,2025-11-18T17:40:01.32Z,9.71,9.21,-3.04,-0.49,6.19,-3.37,1.75,-4.89
,,0,2025-11-18T17:40:01.33Z,9.69,9.19,-3.03,-0.63,6.44,-3.66,1.69,-5.02
,,0,2025-11-18T17:40:01.34Z,9.77,9.26,-3.04,-0.63,6.39,-3.37,1.66,-5.17
,,0,2025-11-18T17:40:01.35Z,9.81,9.26,-3.17,-0.6,6.64,-3.55,1.6,-5.38
,,0,2025-11-18T17:40:01.36Z,9.84,9.29,-3.2,-0.57,6.51,-3.22,1.6,-5.43
,,0,2025-11-18T17:40:01.37Z,9.87,9.32,-3.22,-0.58,6.44,-2.79,1.21,-5.68
,,0,2025-11-18T17:40:01.38Z,9.88,9.31,-3.25,-0.51,6.51,-2.3,1.18,-5.98
,,0,2025-11-18T17:40:01.39Z,9.8,9.25,-3.21,-0.45,6.91,-1.83,1.64,-6.46
,,0,2025-11-18T17:40:01.4Z,9.76,9.22,-3.19,-0.47,6.83,-1.86,1.79,-6.33
,,0,2025-11-18T17:40:01.41Z,9.75,9.2,-3.17,-0.5,6.55,-2.19,1.5,-5.98
,,0,2025-11-18T17:40:01.42Z,9.68,9.15,-3.15,-0.43,6.1,-2.31,1.63,-5.41
,,0,2025-11-18T17:40:01.43Z,9.75,9.21,-3.15,-0.44,6.34,-1.87,1.89,-5.76
,,0,2025-11-18T17:40:01.44Z,9.73,9.21,-3.09,-0.48,6.16,-1.79,2.31,-5.42
,,0,2025-11-18T17:40:01.45Z,9.7,9.19,-3.05,-0.55,6.13,-2.15,2.2,-5.31
,,0,2025-11-18T17:40:01.46Z,9.69,9.19,-3.04,-0.54,6.1,-2.2,2.05,-5.31
,,0,2025-11-18T17:40:01.47Z,9.69,9.16,-3.1,-0.55,5.96,-2.17,2.24,-5.08
,,0,2025-11-18T17:40:01.48Z,9.67,9.16,-3.07,-0.53,5.54,-1.67,1.89,-4.94
,,0,2025-11-18T17:40:01.49Z,9.72,9.2,-3.06,-0.58,5.48,-2.21,1.95,-4.63
,,0,2025-11-18T17:40:01.5Z,9.73,9.2,-3.12,-0.5,5.86,-2.55,1.77,-4.97
,,0,2025-11-18T17:40:01.51Z,9.77,9.23,-3.15,-0.58,5.94,-2.27,1.98,-5.11
,,0,2025-11-18T17:40:01.52Z,9.76,9.2,-3.21,-0.57,5.67,-1.57,1.75,-5.16
,,0,2025-11-18T17:40:01.53Z,9.75,9.2,-3.15,-0.63,5.36,-0.67,1.57,-5.08
,,0,2025-11-18T17:40:01.54Z,9.72,9.19,-3.11,-0.66,5.38,-0.8,1.72,-5.04
,,0,2025-11-18T17:40:01.55Z,9.65,9.14,-3.05,-0.62,5.07,-0.71,1.46,-4.8
,,0,2025-11-18T17:40:01.56Z,9.69,9.18,-3.05,-0.65,4.93,-1.26,1.59,-4.5
,,0,2025-11-18T17:40:01.57Z,9.64,9.14,-3,-0.57,5.3,-1.78,1.6,-4.73
,,0,2025-11-18T17:40:01.58Z,9.7,9.21,-3.02,-0.55,5.25,-2.19,1.7,-4.46
,,0,2025-11-18T17:40:01.59Z,9.68,9.17,-3.05,-0.63,5.61,-2.65,1.34,-4.76
,,0,2025-11-18T17:40:01.6Z,9.66,9.15,-3.07,-0.47,5.18,-2.73,1.23,-4.23
,,0,2025-11-18T17:40:01.61Z,9.74,9.18,-3.21,-0.56,5.63,-2.66,0.8,-4.9
,,0,2025-11-18T17:40:01.62Z,9.73,9.18,-3.21,-0.5,5.58,-2.03,0.98,-5.11
,,0,2025-11-18T17:40:01.63Z,9.73,9.18,-3.17,-0.58,5.47,-1.61,0.76,-5.17
,,0,2025-11-18T17:40:01.64Z,9.7,9.15,-3.19,-0.53,5.43,-1.44,0.6,-5.2
,,0,2025-11-18T17:40:01.65Z,9.75,9.19,-3.22,-0.51,5.28,-1.1,0.66,-5.12
,,0,2025-11-18T17:40:01.66Z,9.76,9.2,-3.22,-0.48,5.31,-0.95,0.56,-5.19
,,0,2025-11-18T17:40:01.67Z,9.7,9.15,-3.18,-0.47,5.58,-0.52,0.63,-5.52
,,0,2025-11-18T17:40:01.68Z,9.73,9.19,-3.17,-0.46,4.93,-0.66,0.64,-4.84
,,0,2025-11-18T17:40:01.69Z,9.76,9.22,-3.17,-0.43,5.33,-0.95,0.89,-5.17
