#group,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
#datatype,string,long,dateTime:RFC3339,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,
,result,table,_time,Amag,Ax,Ay,Az,Gmag,Gx,Gy,Gz
,,0,2025-11-18T17:50:29.791Z,10.06,9.39,-3.24,1.57,3.35,2.32,-1.1,-2.15
,,0,2025-11-18T17:50:29.852Z,10.03,9.37,-3.21,1.57,2.26,1.78,1.29,-0.51
,,0,2025-11-18T17:50:29.861Z,10.1,9.41,-3.25,1.74,2.61,1.68,1.98,-0.18
,,0,2025-11-18T17:50:29.871Z,10.09,9.4,-3.23,1.74,3.38,1.81,2.82,0.44
,,0,2025-11-18T17:50:29.881Z,10.06,9.42,-3.09,1.67,3.63,1.56,3.18,0.81
,,0,2025-11-18T17:50:29.891Z,10.04,9.43,-3.06,1.6,4.53,0.82,4.27,1.27
,,0,2025-11-18T17:50:29.901Z,9.97,9.38,-3,1.56,5.51,0.2,5.33,1.4
,,0,2025-11-18T17:50:29.911Z,9.91,9.32,-2.99,1.51,6.05,-0.88,5.76,1.63
,,0,2025-11-18T17:50:29.921Z,9.78,9.21,-2.94,1.48,6.95,-1.36,6.63,1.57
,,0,2025-11-18T17:50:29.931Z,9.76,9.17,-2.97,1.55,6.81,-1.85,6.43,1.26
,,0,2025-11-18T17:50:29.941Z,9.73,9.13,-2.95,1.59,6.68,-2.11,6.24,1.05
,,0,2025-11-18T17:50:29.951Z,9.67,9.08,-2.91,1.61,6.77,-2.5,6.27,0.56
,,0,2025-11-18T17:50:29.961Z,9.66,9.06,-2.95,1.61,6.89,-3.02,6.19,0.05
,,0,2025-11-18T17:50:29.971Z,9.59,8.99,-2.93,1.59,6.59,-3.09,5.79,-0.53
,,0,2025-11-18T17:50:29.981Z,9.53,8.89,-2.99,1.65,6.04,-3.02,5.07,-1.31
,,0,2025-11-18T17:50:29.991Z,9.52,8.91,-3.02,1.47,5.2,-2.58,4.08,-1.95
,,0,2025-11-18T17:50:30.001Z,9.5,8.88,-3.02,1.51,4.71,-2.39,3.07,-2.66
,,0,2025-11-18T17:50:30.011Z,9.55,8.92,-3.05,1.55,4.49,-1.8,2.32,-3.39
,,0,2025-11-18T17:50:30.021Z,9.61,8.98,-3.09,1.48,4.47,-1.69,1.44,-3.89
,,0,2025-11-18T17:50:30.031Z,9.65,9.01,-3.08,1.53,5.12,-1.51,0.59,-4.85
,,0,2025-11-18T17:50:30.041Z,9.71,9.09,-3.07,1.51,5.65,-1.23,0,-5.52
,,0,2025-11-18T17:50:30.051Z,9.81,9.18,-3.13,1.51,6.38,-0.95,-0.51,-6.29
,,0,2025-11-18T17:50:30.061Z,9.86,9.21,-3.19,1.51,6.71,-0.53,-0.45,-6.67
,,0,2025-11-18T17:50:30.071Z,9.83,9.19,-3.2,1.4,7.85,-0.93,-0.63,-7.77
,,0,2025-11-18T17:50:30.081Z,9.96,9.29,-3.29,1.39,8.15,-0.43,-0.58,-8.11
,,0,2025-11-18T17:50:30.091Z,9.93,9.28,-3.25,1.44,8.1,-0.28,-0.82,-8.05
,,0,2025-11-18T17:50:30.101Z,10.06,9.41,-3.23,1.45,8.69,-0.76,-0.57,-8.64
,,0,2025-11-18T17:50:30.111Z,10.07,9.42,-3.25,1.44,8.19,-1.24,-0.11,-8.09
,,0,2025-11-18T17:50:30.121Z,10.02,9.37,-3.23,1.46,7.26,-2.08,-0.16,-6.95
,,0,2025-11-18T17:50:30.131Z,9.97,9.33,-3.21,1.43,7.21,-3.11,0.52,-6.48
