#group,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
#datatype,string,long,dateTime:RFC3339,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,
,result,table,_time,Amag,Ax,Ay,Az,Gmag,Gx,Gy,Gz
,,0,2025-11-18T17:46:34.75Z,9.77,9.45,-2.47,-0.31,4.99,-3.11,1.66,-3.52
,,0,2025-11-18T17:46:34.797Z,9.79,9.44,-2.61,-0.17,6.21,-4.86,1.63,-3.5
,,0,2025-11-18T17:46:34.806Z,9.81,9.43,-2.67,-0.24,6.42,-4.79,1.93,-3.82
,,0,2025-11-18T17:46:34.816Z,9.8,9.41,-2.72,-0.29,5.94,-4.1,1.95,-3.83
,,0,2025-11-18T17:46:34.826Z,9.78,9.4,-2.68,-0.32,5.59,-3.31,1.54,-4.23
,,0,2025-11-18T17:46:34.836Z,9.75,9.38,-2.66,-0.2,5.62,-3.1,1.39,-4.47
,,0,2025-11-18T17:46:34.846Z,9.76,9.4,-2.63,-0.28,5.42,-2.92,1.41,-4.34
,,0,2025-11-18T17:46:34.856Z,9.76,9.41,-2.6,-0.23,5.15,-2.98,1.41,-3.95
,,0,2025-11-18T17:46:34.866Z,9.72,9.36,-2.63,-0.23,4.96,-2.91,1.67,-3.65
,,0,2025-11-18T17:46:34.876Z,9.77,9.43,-2.56,-0.23,5.14,-2.6,1.89,-4.01
,,0,2025-11-18T17:46:34.886Z,9.8,9.46,-2.55,-0.22,5.2,-2.53,1.69,-4.22
,,0,2025-11-18T17:46:34.896Z,9.74,9.41,-2.46,-0.31,5.18,-2.94,1.95,-3.79
,,0,2025-11-18T17:46:34.906Z,9.76,9.43,-2.52,-0.25,5.48,-3.01,2.02,-4.11
,,0,2025-11-18T17:46:34.916Z,9.68,9.35,-2.48,-0.32,5.63,-3.23,1.89,-4.21
,,0,2025-11-18T17:46:34.926Z,9.73,9.4,-2.48,-0.29,6.06,-3.53,2.09,-4.45
,,0,2025-11-18T17:46:34.936Z,9.75,9.43,-2.46,-0.34,6.19,-4.09,1.9,-4.24
,,0,2025-11-18T17:46:34.946Z,9.71,9.39,-2.45,-0.28,6.25,-4.31,1.46,-4.28
,,0,2025-11-18T17:46:34.956Z,9.73,9.4,-2.5,-0.3,6.52,-4.79,1.74,-4.08
,,0,2025-11-18T17:46:34.966Z,9.71,9.36,-2.53,-0.35,6.33,-4.6,1.37,-4.14
,,0,2025-11-18T17:46:34.976Z,9.79,9.44,-2.58,-0.29,6.14,-4.5,1.4,-3.95
,,0,2025-11-18T17:46:34.986Z,9.79,9.43,-2.6,-0.34,5.89,-4.03,1.3,-4.1
,,0,2025-11-18T17:46:34.996Z,9.84,9.48,-2.62,-0.27,5.95,-3.71,1.45,-4.42
